"API Login ID","ID logare API"
"Authorize Only","Doar autorizare"
"Authorize and Capture","Autorizare si capturare"
"Credit Card Types","Tipuri de carduri"
"Credit Card Verification","Verificare card"
"Debug","Debug"
"Email customer","Email client"
"Enabled","Activat"
"Error in authorizing the payment","Eroare la autorizarea platii"
"Error in capturing the payment","Eroare la captarea platii"
"Error in payment gateway","Eroare in gateway-ul de plati"
"Error in refunding the payment","Eroare la returnarea platii"
"Error in refunding the payment.","Eroare la returnarea platii."
"Error in retrieving the transaction,","Eroare in timpul tranzactiei"
"Fraud order status","Tranzactie frauduloasa"
"Gateway request error: %s","Eroare gateway : %s"
"Invalid amount for authorization","Suma gresita pentru autorizare"
"Invalid amount for authorization.","Suma gresita pentru autorizare."
"Invalid transaction id","Tranzactie cu identificator invalid"
"Maximum Order Total","Suma maxima comanda"
"Merchant Login","Login comerciant"
"Merchant's email","Email comerciant"
"Minimum Order Total","Suma minima comanda"
"New order status","Nou status comanda"
"Partner","Partener"
"Password","Parola"
"Payflow Pro","Payflow Pro"
"Payment Action","Actiune plata"
"Payment authorization error.","Eroare la autorizarea platii."
"Payment authorization transaction has been declined.","Autorizarea platii a fost refuzata."
"Payment from Specific countries","Plati din urmatoarele tari"
"Payment from applicable countries","Plata din tarile acceptate"
"Proxy Host","Host proxy"
"Proxy Port","Port proxy"
"Sort order","Sortare"
"TENDER","TENDER"
"Test mode","Mod de test"
"Title","Titlu"
"Transaction key","Cheie tranzactie"
"URL","URL"
"Use Proxy","Foloseste proxy"
"User","Utilizator"
"VERBOSITY","Mod explicare"
"Voided transaction","Tranzactie nula"
"IPN","Instant Processing Notification (IPN)"
"Selected currency code (%s) is not compatible with ePayment","Moneda selectata (%s) nu este suportata de ePayment"
"Order total amount does not match epayment gross total amount","Suma totala a comenzii nu este aceeasi cu suma bruta din ePayment"
"Error in creating an invoice","Eroare la creearea facturii"
"Invoice #%s created","Factura #%s a fost creata"
"GeCAD ePayment IPN  status %s.","Status GeCAD ePayment IPN %s."
"You will be redirected to ePayment in a few seconds.","Veti fi transferat catre serverele ePayment in cate secunde."
"You will be redirected to ePayment website when you place an order.","La lansarea comenzii veti fi transferat catre serverele ePayment."
"ePayment Checkout","Checkout ePayment"
"Gateway URL","URL Gateway"
